step,train_loss,val_loss,train_ppl,val_ppl,elapsed_sec,tokens_per_sec
0,11.018362045288086,11.01754937171936,60983.70920580594,60934.16948974693,0.7617867999942973,0.0
50,6.988039827346801,7.037336540222168,1083.5953590983574,1138.3516115679447,3.2129888999916147,20887.710564565863
100,6.18181095123291,6.246648859977722,483.8674237067091,516.2797965912625,5.640060799996718,21095.378344536206
150,5.829417967796326,5.9980014085769655,340.1606369987519,402.6233093512203,7.959489899993059,22074.397531737774
200,5.495637345314026,5.740567350387574,243.62675105764288,311.24094356870415,10.521254399995087,19986.224338716333
250,5.280182814598083,5.587972688674927,196.4057779132926,267.1933860835803,13.065820599993458,20121.307907034516
300,5.022351789474487,5.39656093120575,151.76781035450497,220.6462921160659,15.719387599994661,19294.783210665788
350,4.955776643753052,5.343915915489196,141.9928414140018,209.33082923789723,18.16416040000331,20942.641377480497
400,4.823327541351318,5.25137882232666,124.37827681106488,190.82920671520128,20.630730000004405,20757.573595319303
450,4.713524389266968,5.128116393089295,111.44424146431543,168.69905587939655,23.30581419999362,19139.584466240885
500,4.553529882431031,5.092179799079895,94.96703984796477,162.74422540551825,25.679544899991015,21569.422344352788
550,4.601707553863525,4.9282001733779905,99.65433558726444,138.1306772069315,28.17014780000318,20557.271494283556
600,4.506819033622742,4.986656212806702,90.6330587738808,146.44591989143905,30.595129699999234,21113.559651757932
650,4.410497689247132,4.978410863876343,82.3104183220959,145.24338664852309,33.118052299992996,20293.92419732836
700,4.292854058742523,4.972993087768555,73.17501654959453,144.45861826777812,35.59998220000125,20629.108017849227
750,4.365782284736634,4.8548096179962155,78.71095023868676,128.35625216793056,38.05165059999854,20883.737784464094
800,4.266439306735992,4.779608488082886,71.26742187021902,119.05772839945155,40.489352000004146,21003.392786287204
850,4.326851713657379,4.7591001987457275,75.70556818307435,116.64092501548258,42.9304725999973,20973.974001998737
900,4.105876004695892,4.741018509864807,60.69589115154014,114.55081341846339,45.38293500000145,20876.97654402911
950,4.150936460494995,4.639195513725281,63.49343155661165,103.46108107469803,47.72750609999639,21837.682806936657
1000,4.080679023265839,4.756766605377197,59.18564463824369,116.36904987276048,50.13250320000225,21289.00695966548
